row_id,num_points,row_length_m,num_crops,crops_per_meter
0,856451,13249489.377,67,0.000005
1,689,679.484,62,0.091246
2,290,53.369,60,1.124245
3,100,15.296,43,2.811272
4,105,14.180,39,2.750417
5,172,31.874,55,1.725520
6,224,32.324,63,1.949011
7,164,33.594,63,1.875355
8,222,45.129,60,1.329519
9,199,31.985,52,1.625787
10,184,78.415,63,0.803418
11,184,31.326,53,1.691893
12,119,18.230,48,2.633071
13,139,27.164,56,2.061515
14,159,42.392,58,1.368190
15,134,32.793,46,1.402746
16,108,25.299,49,1.936845
17,140,20.501,55,2.682817
18,198,85.800,61,0.710956
19,159,46.693,59,1.263562
20,201,42.760,60,1.403171
21,103,17.904,55,3.071950
22,102,13.689,40,2.922133
23,175,54.542,56,1.026728
24,116,19.659,44,2.238189
25,212,50.730,57,1.123586
26,103,15.905,55,3.458062
27,108,21.401,50,2.336366
28,113,30.417,63,2.071202
29,176,32.655,63,1.929252
30,127,18.708,62,3.314135
31,119,22.002,57,2.590711
32,180,36.652,64,1.746162
33,187,41.175,62,1.505770
34,262,55.765,63,1.129735
35,149,32.144,56,1.742160
36,149,31.497,56,1.777930
37,109,46.247,63,1.362238
38,100,15.461,45,2.910544
39,106,23.587,46,1.950189
40,356,179.954,57,0.316748
41,142,22.496,55,2.444862
42,124,19.014,51,2.682227
43,189,29.691,56,1.886065
44,149,38.685,60,1.551000
45,143,22.380,50,2.234171
46,151,24.675,56,2.269532
47,111,19.934,47,2.357778
48,227,57.990,57,0.982933
49,141,22.362,54,2.414848
50,104,13.495,39,2.889925
51,132,18.792,41,2.181830
52,178,29.836,57,1.910412
53,158,29.364,54,1.838989
54,120,19.621,47,2.395342
55,105,14.588,44,3.016210
56,107,18.142,57,3.141869
57,151,23.263,53,2.278329
58,202,47.778,60,1.255806
59,103,19.753,51,2.581858
60,160,147.471,51,0.345830
61,163,139.147,56,0.402453
62,185,95.505,65,0.680594
63,102,28.376,61,2.149708
64,199,40.567,56,1.380424
65,118,24.701,51,2.064709
66,166,94.084,49,0.520812
67,169,36.436,54,1.482049
68,234,117.850,61,0.517606
69,114,41.959,61,1.453804
70,288,68.298,62,0.907788
71,169,52.245,56,1.071882
72,151,30.180,58,1.921788
73,102,15.165,47,3.099305
74,100,34.206,58,1.695589
75,126,28.081,58,2.065438
76,139,21.096,47,2.227859
77,118,19.549,55,2.813383
78,120,20.187,52,2.575947
79,262,64.765,64,0.988194
80,124,21.592,51,2.361974
81,104,19.743,53,2.684491
82,103,31.733,61,1.922290
83,104,34.703,58,1.671307
84,102,22.748,50,2.197954
85,206,67.098,64,0.953827